year;month;source;value
2019;january;rent;1050
2019;february;rent;1050
2019;march;rent;1050
2019;april;rent;1050
2019;may;rent;1050
2019;june;rent;1050
2019;july;rent;1050
2019;august;rent;1050
2019;september;rent;1050
2019;october;rent;1050
2019;november;rent;1050
2019;december;rent;1050
2019;january;medical;310
2019;february;medical;310
2019;march;medical;310
2019;april;medical;310
2019;may;medical;310
2019;june;medical;310
2019;july;medical;310
2019;august;medical;310
2019;september;medical;310
2019;october;medical;310
2019;january;mobility;100
2019;february;mobility;100
2019;march;mobility;100
2019;april;mobility;100
2019;may;mobility;100
2019;june;mobility;100
2019;july;mobility;500
2019;august;mobility;100
2019;september;mobility;800
2019;october;mobility;100
2019;january;out_food;200
2019;february;out_food;50
2019;july;out_food;100
2019;july;other_var;150
2019;august;out_food;80
2019;september;out_food;75
2019;october;entmt;600
2019;april;education;120
2019;september;education;700
2019;november;mobility;100
2019;november;medical;300
2019;november;education;450
2019;november;out_food;120
2019;november;other_var;1000
2019;november;entmt;150
2019;december;mobility;700
2019;december;medical;300
2019;december;education;200
2019;december;out_food;150
2019;december;other_var;300
2019;december;insurance;1000
2019;december;entmt;200
2018;january;rent;1000
2018;february;rent;1000
2018;march;rent;1000
2018;april;rent;1000
2018;may;rent;1000
2018;june;rent;1000
2018;july;rent;1000
2018;august;rent;1000
2018;september;rent;1000
2018;october;rent;1000
2018;november;rent;1000
2018;december;rent;1000
2018;january;medical;300
2018;february;medical;300
2018;march;medical;300
2018;april;medical;300
2018;may;medical;300
2018;june;medical;300
2018;july;medical;300
2018;august;medical;300
2018;september;medical;300
2018;october;medical;300
2018;january;mobility;100
2018;february;mobility;100
2018;march;mobility;100
2018;april;mobility;100
2018;may;mobility;500
2018;june;mobility;100
2018;july;mobility;500
2018;august;mobility;100
2018;september;mobility;800
2018;october;mobility;100
2018;january;out_food;150
2018;february;out_food;65
2018;july;out_food;85
2018;july;other_var;120
2018;august;out_food;60
2018;september;out_food;50
2018;october;entmt;110
2018;april;education;200
2018;september;education;200
2018;november;mobility;100
2018;november;medical;300
2018;november;education;200
2018;november;out_food;80
2018;november;other_var;100
2018;november;entmt;130
2018;december;mobility;500
2018;december;medical;300
2018;december;education;200
2018;december;out_food;200
2018;december;other_var;220
2018;december;insurance;1000
2018;december;entmt;240
